Effective Java, 250, COMPUTING, 2001, Joshua Block
Design Patterns, 290, COMPUTING, 1995, Gamma et al
Refactoring, 220, COMPUTING, 2000, Martin Fowler
Clean Code, 350, COMPUTING, 2000, Robert Martin
Mastering Lambdas, 250, COMPUTING, 2016, Maurice Naftalin
Hitchhiker's Guide to the Galaxy, 250, SCI_FI, 2000, Douglas Adams
Dune, 250, SCI_FI, 2000, Frank Herbert
Rama, 250, SCI_FI, 2000, Arthur C. Clarke
Quantitative Finance, 250, FINANCE, 2000, Paul Wilmott
One Hundred Years Of Solitude, 449, NOVEL, 1985, Gabriel Garcia Marquez
